"Item", "Circuit Code", "Part Value"       , "Description"              , "Footprint"   , "Supplier"
""    , ""            , ""                 , ""                         , ""            , ""
"1"   , "C100"        , "270 uF/450 V"     , "Aluminum Electrolyte"     , "RB30"        ,
"2"   , "C102"        , "33 nF/630 V"      , "Ceramic"                  , "MKT6/13/10"  ,
"3"   , "C103"        , "2n2/Y1"           , "Ceramic"                  , "CY10"        ,
"4"   , "C104"        , "47 uF/35 V"       , "Aluminum Electrolyte"     , "RB6.5"       ,
"5"   , "C105"        , "100 nF/100 V"     , "Ceramic"                  , "1206C"       ,
"6"   , "C106"        , "33 nF/630 V"      , "Ceramic"                  , "MKT6/13/10"  ,
"7"   , "C107"        , "1800 uF/16 V"     , "Aluminum Electrolyte"     , "RB10"        ,
"8"   , "C108"        , "1800 uF/16 V"     , "Aluminum Electrolyte"     , "RB10"        ,
"9"   , "C109"        , "470 uF/16 V"      , "Aluminum Electrolyte"     , "RB10"        ,
"10"  , "C110"        , "470 uF/16 V"      , "Aluminum Electrolyte"     , "RB10"        ,
"11"  , "C111"        , "470 uF/16 V"      , "Aluminum Electrolyte"     , "RB10"        ,
"12"  , "C112"        , "100 nF"           , "Ceramic"                  , "1206C"       ,
"13"  , "C113"        , "1u0"              , "Ceramic"                  , "1206C"       ,
"14"  , "C114"        , "10 nF"            , "Ceramic"                  , "1206C"       ,
"15"  , "C115"        , "330 pF"           , "Ceramic"                  , "1206C"       ,
"16"  , "C116"        , "100 nF"           , "Ceramic"                  , "1206C"       ,
"17"  , "C117"        , "10 nF"            , "Ceramic"                  , "1206C"       ,
"18"  , "C118"        , "10 nF"            , "Ceramic"                  , "1206C"       ,
"19"  , "C119"        , "NC"               , "Aluminum Electrolyte"     , "1206C"       ,
"20"  , "C120"        , "NC"               , ""                         , "1206C"       ,
"21"  , "C121"        , "47 uF/35 V"       , "Aluminum Electrolyte"     , "RB6.5"       ,
"22"  , "C122"        , "100 nF"           , "Ceramic"                  , "MKT2/7/5"    ,
"23"  , "C200"        , "100 nF"           , "Ceramic"                  , "MKT2/7/5"    ,
"24"  , "C201"        , "100 nF"           , "Ceramic"                  , "MKT2/7/5_0M8",
"25"  , "C203"        , "1n2"              , "Ceramic"                  , "MKT2/7/5"    ,
"26"  , "C204"        , "100 nF"           , "Ceramic"                  , "MKT2/7/5_0M8",
"27"  , "C205"        , "100 nF"           , "Ceramic"                  , "MKT2/7/5"    ,
"28"  , "C206"        , "47 nF"            , "Ceramic"                  , "0805C"       ,
"29"  , "C207"        , "100 nF"           , "Ceramic"                  , "MKT2/7/5_0M8",
"30"  , "C208"        , "220 pF/1 kV"      , "Ceramic"                  , "MKT2/7/5"    ,
"31"  , "C209"        , "1 uF"             , "Ceramic"                  , "0805C"       ,
"32"  , "C210"        , "1n0"              , "Ceramic"                  , "0805C"       ,
"33"  , "C211"        , "2,2 uF"           , "Ceramic"                  , "0805C"       ,
"34"  , "C212"        , "NC"               , "Ceramic"                  , "0805C"       ,
"35"  , "C213"        , "10 nF"            , "Ceramic"                  , "0805C"       ,
"36"  , "C214"        , "470 nF"           , "Ceramic"                  , "0805C"       ,
"37"  , "D100"        , "1N4148"           , "Diode"                    , "1206D"       ,
"38"  , "D101"        , "1N4148"           , "Diode"                    , "1206D"       ,
"39"  , "D103"        , "1N4148"           , "Diode"                    , "1206D"       ,
"40"  , "D104"        , "1N4148"           , "Diode"                    , "1206D"       ,
"41"  , "D201"        , "1N4148"           , "Diode"                    , "1206D"       ,
"42"  , "D202"        , "1N4148"           , "Diode"                    , "1206D"       ,
"43"  , "D205"        , "MURS160T3"        , "Diode"                    , "SMB"         ,
"44"  , "IC100"       , "SFH617A-2"        , "Opto Coupler"             , "DIP4/10"     ,
"45"  , "IC101"       , "TL431"            , "Error Amplifier"          , "TO92-CBE"    ,
"46"  , "IC200"       , "2EDL05N06PF"      , "Half-bridge MOSFET driver", "SO-8"        , "Infineon"
"47"  , "IC201"       , "ICE2HS01G"        , "Resonant-Mode Controller" , "SOL-20"      , "Infineon"
"48"  , "IC300"       , "UCC27324"         , "MOSFET driver"            , "SO-8"        , "Texas Instruments"
"49"  , "L100"        , "40 uH/RM10"       , "LLC Resonant CHOKE"       , "RM10"        , "WE 750341495"
"50"  , "PCB"         , "Double Layer 2 ounce copper", ""               , ""            , ""
"51"  , "Q100"        , "IPP60R190E6"      , "MOSFET"                   , "T0-220"      , "Infineon"
"52"  , "Q101"        , "IPB011N04N"       , "MOSFET"                   , "TO-263"      , "Infineon"
"53"  , "Q102"        , "IPP60R190E6"      , "MOSFET"                   , "T0-220"      , "Infineon"
"54"  , "Q103"        , "IPB011N04N"       , "MOSFET"                   , "TO-263"      , "Infineon"
"55"  , "Q104"        , "BCX56"            , "NPN Transistor"           , "SOT-89"      ,
"56"  , "Q105"        , "BCX53"            , "PNP Transistor"           , "SOT-89"      ,
"57"  , "Q106"        , "BCX53"            , "PNP Transistor"           , "SOT-89"      ,
"58"  , "Q107"        , "BCX56"            , "NPN Transistor"           , "SOT-89"      ,
"59"  , "R100"        , "4R7"              , "Resistor"                 , "1206R"       ,
"60"  , "R101"        , "10 k"             , "Resistor"                 , "1206R"       ,
"61"  , "R102"        , "1R0"              , "Resistor"                 , "1206R"       ,
"62"  , "R103"        , "10 k"             , "Resistor"                 , "1206R"       ,
"63"  , "R104"        , "4R7"              , "Resistor"                 , "1206R"       ,
"64"  , "R105"        , "10 k"             , "Resistor"                 , "1206R"       ,
"65"  , "R106"        , "430R"             , "Resistor"                 , "1206R"       ,
"66"  , "R107"        , "1R0"              , "Resistor"                 , "1206R"       ,
"67"  , "R108"        , "10 k"             , "Resistor"                 , "1206R"       ,
"68"  , "R109"        , "10 R"             , "Resistor"                 , "1206R"       ,
"69"  , "R110"        , "10 R"             , "Resistor"                 , "1206R"       ,
"70"  , "R111"        , "10 R"             , "Resistor"                 , "1206R"       ,
"71"  , "R112"        , "10 R"             , "Resistor"                 , "1206R"       ,
"72"  , "R113"        , "430 R"            , "Resistor"                 , "1206R"       ,
"73"  , "R114"        , "1 k"              , "Resistor"                 , "1206R"       ,
"74"  , "R115"        , "1 k"              , "Resistor"                 , "1206R"       ,
"75"  , "R116"        , "560 R"            , "Resistor"                 , "1206R"       ,
"76"  , "R117"        , "11 k"             , "Resistor"                 , "1206R"       ,
"77"  , "R118"        , "56 R"             , "Resistor"                 , "1206R"       ,
"78"  , "R119"        , "13 k"             , "Resistor"                 , "1206R"       ,
"79"  , "R120"        , "1 k"              , "Resistor"                 , "1206R"       ,
"80"  , "R121"        , "0 R"              , "Resistor"                 , "1206R"       ,
"81"  , "R122"        , "820 R"            , "Resistor"                 , "1206R"       ,
"82"  , "R123"        , "510 R"            , "Resistor"                 , "1206R"       ,
"83"  , "R124"        , "NC"               , "Resistor"                 , "1206R"       ,
"84"  , "R125"        , "3k6"              , "Resistor"                 , "1206R"       ,
"85"  , "R200"        , "10 R"             , "Resistor"                 , "0805R"       ,
"86"  , "R202"        , "10 R"             , "Resistor"                 , "0805R"       ,
"87"  , "R203"        , "11 k"             , "Resistor"                 , "0805R"       ,
"88"  , "R204"        , "11 k"             , "Resistor"                 , "0805R"       ,
"89"  , "R205"        , "200 k"            , "Resistor"                 , "0805R"       ,
"90"  , "R206"        , "5k6/1%"           , "Resistor"                 , "0805R"       ,
"91"  , "R207"        , "12 k/0,1%"        , "Resistor"                 , "0805R"       ,
"92"  , "R208"        , "402 k"            , "Resistor"                 , "0805R"       ,
"93"  , "R209"        , "300 k"            , "Resistor"                 , "0805R"       ,
"94"  , "R210"        , "680 k"            , "Resistor"                 , "0805R"       ,
"95"  , "R211"        , "110 k/1%"         , "Resistor"                 , "0805R"       ,
"96"  , "R212"        , "200 R"            , "Resistor"                 , "1206R"       ,
"97"  , "R213"        , "1M0"              , "Resistor"                 , "0805R"       ,
"98"  , "R214"        , "1M0"              , "Resistor"                 , "0805R"       ,
"99"  , "R215"        , "2M0"              , "Resistor"                 , "0805R"       ,
"100" , "R216"        , "51 k/1%"          , "Resistor"                 , "0805R"       ,
"101" , "R217"        , "NC"               , "Resistor"                 , "0805R"       ,
"102" , "R218"        , "51 k/1%"          , "Resistor"                 , "0805R"       ,
"103" , "R219"        , "NC"               , "Resistor"                 , "0805R"       ,
"104" , "R220"        , "0R"               , "Resistor"                 , "0805R"       ,
"105" , "R221"        , "NC"               , "Resistor"                 , "0805R"       ,
"106" , "R222"        , "0 R"              , "Resistor"                 , "0805R"       ,
"107" , "R223"        , "1M5/1%"           , "Resistor"                 , "1206R"       ,
"108" , "R224"        , "1M5/1%"           , "Resistor"                 , "1206R"       ,
"109" , "R225"        , "1M5/1%"           , "Resistor"                 , "1206R"       ,
"110" , "R226"        , "1M5/1%"           , "Resistor"                 , "1206R"       ,
"111" , "R227"        , "24 k"             , "Resistor"                 , "0805R"       ,
"112" , "R228"        , "62 R"             , "Resistor"                 , "0805R"       ,
"113" , "R229"        , "1R0"              , "Resistor"                 , "1206R"       ,
"114" , "R230"        , "1R0"              , "Resistor"                 , "1206R"       ,
"115" , "RT100"       , "2R5"              , "NTC Thermister"           , "NTC7.5"      ,
"116" , "TR100"       , "Lp = 690 uH"      , "LLC Resonant Transformer" , "PQ3230"      , "WE 750341496"
"117" , "TR101"       , "Lp = 2,8 mH (min)", "Pulse Transformer Wurth"  , "EE13"        , "WE 750342744"
"118" , "ZD100"       , "5V1"              , "Zener Diode"              , "1206D"       ,
"119" , "ZD101"       , "5V1"              , "Zener Diode"              , "1206D"       ,
"120" , "ZD102"       , "NC"               , "Zener Diode"              , "1206D"       ,